question_id,section_type,question_type,difficulty,passage,stimulus,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation,wrong_answer_a,wrong_answer_b,wrong_answer_c,wrong_answer_d,wrong_answer_e,source,tags
LR_B1_048,Logical Reasoning,Weaken,3,N/A,"To boost local retail, the town should lower commercial property taxes. Lower costs will allow stores to drop prices, attracting more shoppers.",Shoppers prioritize store location over slight price differences.,Property taxes are currently high.,Retail is a difficult business.,Online shopping is popular.,Taxes fund town services.,A,"If shoppers don't care about the price drop, the entire causal chain fails.",Correct. Severs the link between lower prices and increased foot traffic.,Incorrect. Strengthens the premise that action is needed.,Incorrect. Too vague to weaken the specific plan.,"Incorrect. While true, doesn't address the specific mechanism of the tax plan.","Incorrect. True, but addresses side effects, not whether the plan will boost retail.",custom_gemini_generated,"weaken, causal_chain"
LR_B1_049,Logical Reasoning,Assumption,3,N/A,"The new allergy medication is superior to the old one because it causes drowsiness in only 5% of patients, compared to 20% for the old medication.",Drowsiness is the only side effect patients care about.,The new medication is at least as effective at treating allergies as the old one.,The new medication is cheaper.,Allergies are increasing globally.,The old medication tastes bad.,B,"If the new medicine doesn't actually treat allergies, its lack of side effects doesn't make it 'superior' overall.","Incorrect. It's an assumption, but a weaker one than basic efficacy.",Correct. The claim of superiority requires assuming the primary function (allergy relief) is still met.,Incorrect. Cost is out of scope.,Incorrect. Global trends are irrelevant.,Incorrect. Taste is irrelevant.,custom_gemini_generated,"assumption, baseline"
LR_B1_050,Logical Reasoning,Flaw,3,N/A,"Since building the new stadium will create construction jobs, the city's overall unemployment rate is guaranteed to drop to zero.",Assumes construction jobs are permanent.,"Exaggerates the impact of a single project, assuming it will solve a complex, multi-variable economic issue entirely.",Confuses construction with manufacturing.,Attacks the unemployed.,Assumes the stadium is expensive.,B,"The stimulus commits a magnitude flaw, leaping from a localized benefit to a total systemic solution.","Incorrect. Permanence is an issue, but 'drop to zero' is the primary flaw.",Correct. Identifies the gross exaggeration of effect.,Incorrect. Job types aren't confused.,Incorrect. No ad hominem.,Incorrect. Cost is not discussed.,custom_gemini_generated,"flaw, magnitude"
RC_B1_001,Reading Comprehension,Main Point,3,"The traditional view of the Industrial Revolution emphasizes the suddenness of technological change. However, recent historians argue that this period was actually a slow, gradual evolution of existing artisanal practices rather than an abrupt break from the past. Thus, 'revolution' is a misnomer.",N/A,The Industrial Revolution was incredibly sudden.,Artisanal practices were entirely wiped out by machines.,The term 'revolution' inaccurately describes what was actually a gradual evolution of industrial practices.,Historians agree on the timeline of industrialization.,Technology is the most important historical factor.,C,The passage contrasts a traditional view with a new one and concludes that the traditional label is inaccurate.,Incorrect. This is the traditional view the author rejects.,"Incorrect. The author states artisanal practices evolved, not disappeared.",Correct. Accurately states the main conclusion.,Incorrect. The passage shows historians disagreeing.,Incorrect. Out of scope.,custom_gemini_generated,"rc, history, main_point"
RC_B1_002,Reading Comprehension,Inference,3,"While Mars is often considered the most likely candidate for human colonization due to its proximity, its lack of a magnetosphere means surface radiation levels are lethal. Consequently, underground habitats would be an absolute necessity for any long-term settlement.",N/A,Mars has a thick atmosphere.,Humans can survive on the Martian surface with heavy coats.,Any future long-term Martian colony will not be built entirely on the planet's surface.,Venus is a better candidate for colonization.,Radiation shielding is inexpensive.,C,"Because surface radiation is lethal and underground habitats are a necessity, colonies cannot be purely on the surface.",Incorrect. Atmosphere thickness is not mentioned.,Incorrect. Contradicts the text which says radiation is lethal.,Correct. Valid logical deduction from the premises.,Incorrect. Venus is not mentioned.,Incorrect. Cost is not mentioned.,custom_gemini_generated,"rc, science, inference"
RC_B1_003,Reading Comprehension,Detail,3,"The symphony, completed in 1824, broke from classical traditions by incorporating a full choir in its final movement. Critics at the time were polarized; some hailed it as a masterpiece of emotional expression, while others condemned it as chaotic noise.",N/A,The symphony was universally praised.,The symphony used a choir in its first movement.,The symphony included a choir in its final movement.,The symphony strictly followed classical traditions.,The symphony was never performed.,C,The text explicitly states the choir was incorporated in the final movement.,Incorrect. Text says critics were polarized.,Incorrect. Text says final movement.,Correct. Directly retrieves a stated fact.,Incorrect. Text says it broke from traditions.,Incorrect. Not supported by text.,custom_gemini_generated,"rc, arts, detail"
RC_B1_004,Reading Comprehension,Tone,3,"Despite the CEO's glowing description of the merger as a 'synergistic triumph,' the reality is starkly different. Massive layoffs, plummeted stock prices, and a hostile corporate culture have laid bare the disastrous consequences of this ill-advised union.",N/A,Enthusiastic.,Highly critical.,Neutral and objective.,Cautiously optimistic.,Indifferent.,B,"The author uses strong negative words like 'disastrous', 'ill-advised', and 'starkly different' to condemn the merger.","Incorrect. The CEO is enthusiastic, the author is not.",Correct. Accurately reflects the author's strong condemnation.,Incorrect. The language is highly opinionated.,Incorrect. There is no optimism here.,Incorrect. The author clearly cares enough to criticize.,custom_gemini_generated,"rc, business, tone"
RC_B1_005,Reading Comprehension,Function,3,"In examining the behavior of ants, scientists noted that foraging patterns shift during rainfall. [This suggests that environmental humidity is a primary trigger for specific chemical signaling among the workers.] Further experiments confirmed that dry conditions suppressed this signaling entirely.",N/A,To introduce the main topic of ant species.,To provide a hypothesis that explains the observed behavioral shift.,To conclude the passage with a definitive rule.,To criticize previous scientific methods.,To offer an irrelevant anecdote.,B,The bracketed sentence takes an observation and posits a mechanism (humidity triggering signals) to explain it.,Incorrect. The topic is introduced in the previous sentence.,Correct. Identifies the sentence as an explanatory hypothesis.,Incorrect. The conclusion/confirmation comes in the next sentence.,Incorrect. No criticism is present.,Incorrect. It is central to the passage's logic.,custom_gemini_generated,"rc, science, function"
RC_B1_006,Reading Comprehension,Main Point,3,"Legal scholars debate the strict interpretation of the Constitution. Textualists argue for adhering solely to the written words, while intentionalists argue we must consider the framers' original goals. Given the ambiguity of 18th-century language, a purely textual approach often leads to contradictory rulings, making intentionalism necessary.",N/A,Textualism is the only valid legal theory.,"Intentionalism relies on the framers' goals, making it the necessary approach due to linguistic ambiguity.",The Constitution should be rewritten.,18th-century language is easy to understand.,Judges always agree on rulings.,B,"The author presents two views, criticizes the first, and concludes the second is necessary.",Incorrect. The author argues against textualism.,Correct. Accurately summarizes the author's core argument.,Incorrect. Out of scope.,Incorrect. The text says it is ambiguous.,Incorrect. The text mentions debate and contradictory rulings.,custom_gemini_generated,"rc, law, main_point"
RC_B1_007,Reading Comprehension,Strengthen,3,"The decline of the local newspaper has led to increased political corruption in small towns. Without journalists to monitor local government meetings and review public records, town officials operate without accountability.",N/A,National news outlets have seen increased viewership.,"In towns that recently lost their newspaper, instances of embezzlement by officials spiked by 40%.",Local newspapers often struggled with funding.,Citizens can attend government meetings themselves.,Social media spreads rumors quickly.,B,Provides concrete data linking the loss of the newspaper to an actual increase in corruption.,Incorrect. Irrelevant to local corruption.,Correct. Bolsters the causal claim with empirical evidence.,"Incorrect. Explains why they closed, but doesn't strengthen the effect of the closure.",Incorrect. Weakens the argument by suggesting an alternative accountability mechanism.,Incorrect. Irrelevant to the specific mechanism of journalistic oversight.,custom_gemini_generated,"rc, society, strengthen"
RC_B1_008,Reading Comprehension,Inference,3,"Medieval alchemy is often dismissed as pseudo-science, a foolish quest to turn lead into gold. However, alchemists developed precise distillation techniques, laboratory equipment, and chemical classifications that laid the direct groundwork for modern chemistry.",N/A,Modern chemists still try to turn lead into gold.,Alchemy was entirely a waste of time.,Modern chemistry owes some of its foundational methodologies to alchemical practices.,Medieval alchemists successfully created gold.,Distillation was invented in the 20th century.,C,The text states alchemy laid the groundwork for modern chemistry via precise techniques.,Incorrect. Unsupported by text.,Incorrect. Contradicts the author's point that they contributed to chemistry.,Correct. Valid inference from the text's final clause.,Incorrect. Text implies this was a 'foolish quest'.,Incorrect. Text says medieval alchemists developed it.,custom_gemini_generated,"rc, history, inference"
RC_B1_009,Reading Comprehension,Detail,3,"The newly discovered exoplanet, Kepler-186f, is notable because it orbits its star within the habitable zone, where liquid water could exist. It is roughly 10% larger than Earth and orbits a red dwarf star.",N/A,Kepler-186f is much smaller than Earth.,Kepler-186f orbits a blue giant star.,Kepler-186f is notable for orbiting within its star's habitable zone.,Kepler-186f is entirely covered in ice.,Kepler-186f has intelligent life.,C,The passage explicitly states it is notable because it orbits in the habitable zone.,Incorrect. Text says it is 10% larger.,Incorrect. Text says red dwarf.,Correct. Direct retrieval of a stated detail.,Incorrect. Not supported by text.,Incorrect. Not supported by text.,custom_gemini_generated,"rc, space, detail"
RC_B1_010,Reading Comprehension,Weaken,3,"Proponents of the new tax plan argue it will stimulate the economy by giving corporations more cash to hire workers. However, history shows that corporations typically use such tax windfalls for stock buybacks rather than job creation.",N/A,Stock buybacks are illegal.,Corporations always prioritize workers.,Recent data shows the current tax plan explicitly mandates that 80% of saved funds be used directly for payroll expansion.,The economy is already strong.,Taxes are too high.,C,"If the plan legally forces job creation, history (which lacked this mandate) becomes irrelevant, weakening the author's counter-argument.",Incorrect. Out of scope and factually dubious.,Incorrect. Contradicts the text's historical claim.,Correct. Introduces a new rule that breaks the author's historical analogy.,Incorrect. Doesn't address the specific effect of the tax plan.,Incorrect. Out of scope opinion.,custom_gemini_generated,"rc, economy, weaken"
RC_B1_011,Reading Comprehension,Main Point,3,"While caffeine is widely consumed for its stimulant properties, excessive intake can lead to anxiety, insomnia, and heart palpitations. Therefore, consumers must treat caffeine as a potent drug and strictly moderate their daily intake to avoid adverse health effects.",N/A,Caffeine has no benefits.,Caffeine causes insomnia in everyone.,Consumers should regulate their caffeine intake because excessive amounts can cause negative health effects.,Caffeine should be made illegal.,Anxiety is a common modern condition.,C,The passage lists side effects to support the conclusion that intake must be moderated.,Incorrect. The text admits it is a stimulant.,Incorrect. Too extreme; says 'can lead to'.,Correct. Perfectly summarizes the premises and conclusion.,"Incorrect. The text argues for moderation, not prohibition.",Incorrect. Broad statement not capturing the main point.,custom_gemini_generated,"rc, health, main_point"
RC_B1_012,Reading Comprehension,Inference,3,"The Impressionist painters faced severe backlash from the traditional French Academy. The Academy favored realistic historical scenes with invisible brushstrokes, whereas the Impressionists painted modern life using visible, rapid strokes to capture transient light.",N/A,The French Academy admired the Impressionists.,The Impressionists exclusively painted historical scenes.,The French Academy likely criticized the Impressionists' use of visible brushstrokes.,Impressionism was immediately popular.,The Academy painters painted very quickly.,C,"Since the Academy favored invisible strokes and the Impressionists used visible ones, it's highly likely this was a point of criticism.",Incorrect. Text says they faced severe backlash.,Incorrect. Text says they painted modern life.,Correct. A valid logical deduction based on the contrasting styles.,Incorrect. Text says they faced backlash.,Incorrect. Implied they painted slowly to hide strokes.,custom_gemini_generated,"rc, arts, inference"
RC_B1_013,Reading Comprehension,Function,3,"Early computers used vacuum tubes, which were bulky and generated immense heat. [The invention of the transistor in 1947 revolutionized the field], replacing tubes with small, cool, solid-state components that allowed for the miniaturization of electronics.",N/A,To introduce a problem.,To describe a historical setback.,To mark the turning point in technological development that solved a previous limitation.,To conclude the passage.,To define what a vacuum tube is.,C,The bracketed text transitions from the problem (bulky tubes) to the solution that enabled miniaturization.,Incorrect. The problem is in the first sentence.,"Incorrect. It describes a breakthrough, not a setback.",Correct. Accurately describes the sentence's structural role.,Incorrect. It's the middle of the thought.,Incorrect. It introduces the transistor.,custom_gemini_generated,"rc, technology, function"
RC_B1_014,Reading Comprehension,Detail,3,"Deep sea hydrothermal vents host ecosystems that do not rely on sunlight. Instead, bacteria perform chemosynthesis, converting toxic hydrogen sulfide from the vents into usable organic energy, forming the base of a complex food web.",N/A,Hydrothermal vent ecosystems rely primarily on sunlight.,Bacteria at hydrothermal vents perform photosynthesis.,Bacteria at these vents use hydrogen sulfide for chemosynthesis.,The vents are located in shallow waters.,No complex life exists near the vents.,C,The passage explicitly states bacteria convert hydrogen sulfide via chemosynthesis.,Incorrect. Text says they do not rely on sunlight.,Incorrect. Text says chemosynthesis.,Correct. Directly matches the text.,Incorrect. Text says deep sea.,Incorrect. Text says they form the base of a complex food web.,custom_gemini_generated,"rc, science, detail"
RC_B1_015,Reading Comprehension,Tone,3,The author's latest novel is a tedious slog through self-indulgent prose. Every chapter is bogged down by meandering philosophical tangents that do nothing to advance the utterly nonexistent plot. It is a spectacular failure of editing.,N/A,Effusive praise.,Objective analysis.,Harshly critical.,Mildly disappointed.,Humorous.,C,"The use of words like 'tedious slog', 'self-indulgent', and 'spectacular failure' indicates extreme negativity.",Incorrect. The passage is entirely negative.,Incorrect. The language is highly subjective and emotional.,Correct. Accurately reflects the brutal review.,Incorrect. It is far stronger than mild disappointment.,"Incorrect. There is no humor, only attack.",custom_gemini_generated,"rc, literature, tone"
RC_B1_016,Reading Comprehension,Main Point,3,"Urban sprawl leads to increased car dependency, which in turn elevates carbon emissions. To combat climate change effectively, city planners must prioritize high-density zoning and robust public transit networks to reduce the need for personal vehicles.",N/A,Urban sprawl is caused by cars.,Climate change cannot be stopped.,"To fight climate change, cities must adopt zoning and transit policies that reduce car dependency.",Public transit is expensive to build.,High-density zoning is unpopular.,C,"The first sentence states the problem; the second provides the prescriptive solution, which is the main point.","Incorrect. Cars are a symptom/result of sprawl, not the cause.","Incorrect. The passage offers a solution, implying it can be fought.",Correct. Summarizes the author's proposed solution to the stated problem.,Incorrect. Cost is not discussed.,Incorrect. Popularity is not discussed.,custom_gemini_generated,"rc, policy, main_point"
RC_B1_017,Reading Comprehension,Strengthen,3,"Linguistics researchers hypothesize that language shapes perception. For instance, cultures with multiple specific words for different shades of blue can distinguish those shades visually faster than cultures with only one broad word for blue.",N/A,Color blindness affects people universally regardless of language.,Brain scans show that people with expansive color vocabularies process visual color differences in the language centers of the brain.,All languages have a word for black and white.,Learning a new language is difficult for adults.,Blue is a common favorite color globally.,B,Finding that visual processing happens in the language center directly supports the theory that language actively shapes visual perception.,Incorrect. Irrelevant physiological condition.,Correct. Provides neurological evidence backing the hypothesis.,Incorrect. Irrelevant linguistic trivia.,Incorrect. Difficulty of learning is out of scope.,Incorrect. Preferences are out of scope.,custom_gemini_generated,"rc, science, strengthen"
RC_B1_018,Reading Comprehension,Weaken,3,"Some economists argue that raising the minimum wage will destroy small businesses, as payroll costs will exceed revenue. However, this ignores the macroeconomic effect: low-income workers immediately spend wage increases, injecting that money directly back into local businesses.",N/A,Large corporations can easily absorb minimum wage increases.,Workers often save wage increases in long-term offshore accounts rather than spending locally.,Minimum wage laws are difficult to enforce.,Inflation is currently low.,Small business owners work long hours.,B,"If workers save the money instead of spending it locally, the author's macroeconomic defense of the wage hike collapses.",Incorrect. The passage focuses on small businesses.,Correct. directly attacks the author's premise about immediate local spending.,Incorrect. Enforcement is a separate issue from economic impact.,Incorrect. General inflation is out of scope.,Incorrect. Irrelevant personal detail.,custom_gemini_generated,"rc, economy, weaken"
RC_B1_019,Reading Comprehension,Inference,3,"During the Bronze Age, the collapse of intricate trade networks for tin and copper led to the rapid adoption of iron. Though iron was harder to smelt, its ores were widely available locally, freeing societies from fragile international supply chains.",N/A,Iron is softer than bronze.,Bronze requires materials that were often imported via trade networks.,The Bronze Age ended because iron was easier to smelt.,Local supply chains are always fragile.,Societies preferred international trade.,B,"Since the collapse of trade networks for tin and copper caused the shift, those materials must have relied on those networks.","Incorrect. Text implies iron was harder to work, not necessarily softer.",Correct. Logical deduction from the premise about trade networks.,Incorrect. Text explicitly says iron was harder to smelt.,Incorrect. Text says international chains were fragile.,Incorrect. Text implies they adopted iron out of necessity.,custom_gemini_generated,"rc, history, inference"
RC_B1_020,Reading Comprehension,Function,3,The placebo effect is a powerful medical phenomenon. [Patients given inert sugar pills frequently report significant reductions in pain simply because they believe they are receiving real medication.] This highlights the immense power of psychology in physical healing.,N/A,To introduce the main argument.,To provide a concrete example that illustrates the phenomenon discussed.,To offer a counterargument.,To summarize the passage.,To critique modern medicine.,B,"The bracketed sentence describes exactly how the placebo effect works in practice, serving as an illustrative example.",Incorrect. The first sentence is the introduction.,Correct. It illustrates the concept introduced in the previous sentence.,Incorrect. It supports the main point.,Incorrect. The final sentence is the summary/conclusion.,Incorrect. No critique is present.,custom_gemini_generated,"rc, science, function"
RC_B1_021,Reading Comprehension,Main Point,4,"Critics of constitutional originalism assert that 18th-century framers could not have anticipated modern realities like the internet or automatic weapons. However, originalists counter that while specific technologies change, the underlying principles of free speech and self-defense remain static. Thus, originalism is not an archaic straightjacket, but a durable framework capable of accommodating technological shifts by applying timeless principles to new facts.",N/A,Originalism is universally rejected by modern legal scholars.,Originalism is an archaic straightjacket that ignores modern technology.,Originalism remains a viable framework because it applies static constitutional principles to new technological realities.,The framers of the Constitution anticipated the internet.,Free speech only applies to 18th-century technology.,C,"The passage introduces a criticism, provides the originalist rebuttal, and concludes that originalism successfully accommodates new facts.","Incorrect. The passage shows a debate, not universal rejection.","Incorrect. This is the critics' view, which the author ultimately rejects.",Correct. Accurately synthesizes the author's final conclusion defending originalism.,Incorrect. The passage admits they could not anticipate it.,Incorrect. The passage argues the principle remains static despite new tech.,custom_gemini_generated,"rc, law, main_point"
RC_B1_022,Reading Comprehension,Inference,4,"Quantum entanglement presents a profound challenge to classical physics. When two particles are entangled, measuring the state of one instantaneously determines the state of the other, regardless of the distance separating them. This seemingly violates the speed-of-light limit for information transfer established by Einstein’s theory of relativity.",N/A,Einstein's theory of relativity perfectly explains quantum entanglement.,Entangled particles must be kept in close physical proximity to remain entangled.,"According to classical physics based on relativity, instantaneous information transfer across vast distances should be impossible.",Quantum entanglement proves that the speed of light is very slow.,Classical physics has resolved the paradox of entanglement.,C,"The text says entanglement violates the speed-of-light limit set by relativity, implying that under relativity, such instantaneous action shouldn't happen.",Incorrect. The text says it challenges relativity.,Incorrect. The text says 'regardless of distance'.,Correct. A valid deduction from the conflict between entanglement and relativity.,"Incorrect. It doesn't prove light is slow, it implies information might move faster.",Incorrect. The text describes it as a current challenge.,custom_gemini_generated,"rc, science, inference"
RC_B1_023,Reading Comprehension,Function,4,"The transition from nomadic foraging to settled agriculture during the Neolithic Revolution is often hailed as humanity's greatest leap forward. [Yet, bioarchaeological evidence reveals that early farmers suffered from higher rates of malnutrition, dental decay, and infectious diseases compared to their hunter-gatherer ancestors.] This paradox suggests the transition was driven by population pressures rather than an immediate improvement in quality of life.",N/A,To introduce the widely accepted view of the Neolithic Revolution.,To provide empirical evidence that contradicts the traditional positive narrative of agricultural settlement.,To conclude that agriculture was ultimately a mistake.,To explain the mechanism of early dental decay.,To support the idea that life improved during the Neolithic period.,B,The bracketed sentence uses physical evidence to undercut the 'greatest leap forward' narrative.,Incorrect. The first sentence does this.,Correct. Identifies the sentence as a counter-premise based on evidence.,"Incorrect. The passage doesn't say it was a mistake, just driven by pressure.","Incorrect. It states decay happened, but doesn't explain the mechanism.",Incorrect. It explicitly does the opposite.,custom_gemini_generated,"rc, history, function"
RC_B1_024,Reading Comprehension,Weaken,4,"Some sociologists maintain that the proliferation of social media has inherently isolated individuals, reducing the depth of human connection. They point to the decline in in-person community gatherings as proof that digital networking has replaced true socialization.",N/A,People spend an average of three hours a day on social media.,Introverted individuals report feeling more isolated now than ten years ago.,"Recent studies show that individuals who use social media to organize local, niche-interest meetups have larger, more active in-person social circles than non-users.",Social media algorithms prioritize controversial content.,Community gatherings were already declining before the internet was invented.,C,"If social media is used as a tool to facilitate deeper in-person connections, it attacks the premise that digital networking entirely replaces real socialization.",Incorrect. Doesn't address whether that time is isolating.,Incorrect. Strengthens the sociologists' claim.,Correct. Provides evidence of social media enhancing in-person connections.,Incorrect. Irrelevant to the specific argument about isolation.,"Incorrect. Weakens the timeline, but C attacks the core logic directly.",custom_gemini_generated,"rc, sociology, weaken"
RC_B1_025,Reading Comprehension,Strengthen,4,"Biologists studying the spotted owl population note a sharp decline corresponding exactly with the logging of old-growth forests. They conclude the owls depend exclusively on the complex canopy structure of ancient trees for nesting, meaning any logging in these areas guarantees population collapse.",N/A,Spotted owls are capable of flying long distances.,"In areas where old-growth forests were preserved but adjacent younger forests were logged, the spotted owl population remained entirely stable.",Logging companies provide economic benefits to local towns.,The spotted owl's primary prey is also declining.,Other bird species thrive in logged areas.,B,"By isolating the variable (old-growth vs young forest), this shows the owls specifically need the old-growth, ruling out general logging disturbances as the cause.",Incorrect. Irrelevant to nesting requirements.,"Correct. Functions as a control group, strengthening the specific causal link to old-growth.",Incorrect. Economic factors are out of scope.,Incorrect. This would weaken the conclusion by offering an alternative cause (starvation).,Incorrect. Irrelevant to the spotted owl.,custom_gemini_generated,"rc, science, strengthen"
RC_B1_026,Reading Comprehension,Detail,4,"The 19th-century artistic movement known as Realism sought to portray the lives of the working class with unflinching accuracy. Rejecting the idealized subjects of Romanticism, Realist painters focused on mundane scenes of labor, poverty, and ordinary rural life, attempting to elevate these subjects to the status previously reserved for historical and mythological figures.",N/A,Realism focused on painting mythological figures.,Realism attempted to idealize the working class.,Romanticism focused on mundane scenes of labor.,Realist painters sought to elevate ordinary rural life to the status of historical subjects.,Realism was universally rejected in the 19th century.,D,The final sentence explicitly states they attempted to elevate these subjects to the status of historical figures.,Incorrect. Text says they rejected this.,"Incorrect. Text says they portrayed them with unflinching accuracy, not idealization.","Incorrect. Text says Realism did this, rejecting Romanticism.",Correct. Directly matches the text.,Incorrect. Not supported by the text.,custom_gemini_generated,"rc, arts, detail"
RC_B1_027,Reading Comprehension,Tone,4,"The government's proposal to 'streamline' environmental protections is a thinly veiled attempt to gut decades of vital conservation law. By burying severe deregulation within complex bureaucratic jargon, policymakers are actively deceiving the public while handing a blank check to corporate polluters.",N/A,Objective and analytical.,Mildly skeptical.,Scathing and accusatory.,Enthusiastically supportive.,Resigned and defeatist.,C,"The use of terms like 'thinly veiled attempt', 'gut', 'actively deceiving', and 'blank check' shows intense anger and accusation.",Incorrect. The language is highly biased and emotional.,Incorrect. It goes far beyond mild skepticism to direct accusation.,"Correct. Accurately captures the fierce, condemning tone.",Incorrect. The author vehemently opposes the proposal.,"Incorrect. The author is angry, not resigned.",custom_gemini_generated,"rc, policy, tone"
EXP_B1_001,Experimental,Strengthen,4,N/A,"City Planner: Introducing a congestion charge for driving into the city center will reduce traffic. Drivers will switch to public transit to avoid the fee, freeing up the roads.",Public transit fares are currently very high.,A similar congestion charge implemented in a neighboring city resulted in a 30% decrease in downtown traffic volume within six months.,The city center has many parking garages.,Most drivers enjoy driving.,The congestion fee will be collected electronically.,B,Provides a parallel historical example where the proposed plan successfully achieved the stated goal.,"Incorrect. High fares might deter the switch to transit, weakening the argument.",Correct. Empirical evidence from a similar case strongly supports the prediction.,"Incorrect. Availability of parking might encourage driving, weakening the plan.","Incorrect. Enjoyment of driving might make them willing to pay the fee, weakening.",Incorrect. Collection method is an irrelevant administrative detail.,custom_gemini_generated,"strengthen, policy"
EXP_B1_002,Experimental,Weaken,4,N/A,"Dietician: To lower your cholesterol, you should switch from butter to margarine. Margarine is made from vegetable oils, which do not contain dietary cholesterol.",Butter tastes better than margarine.,"Many margarines contain trans fats, which studies show raise cholesterol levels more significantly than the dietary cholesterol found in butter.",Vegetable oils are cheaper to produce than dairy products.,Cholesterol is produced naturally by the liver.,Margarine is easier to spread when cold.,B,"Reveals that while margarine lacks dietary cholesterol, its chemical makeup (trans fats) creates a worse effect on the body's cholesterol levels.",Incorrect. Taste is irrelevant to health outcomes.,Correct. Directly attacks the mechanism of the health claim.,Incorrect. Cost is irrelevant.,"Incorrect. While true, doesn't address the relative impact of butter vs margarine.",Incorrect. Convenience is irrelevant.,custom_gemini_generated,"weaken, health"
EXP_B1_003,Experimental,Flaw,4,N/A,"Politician: The incumbent governor's economic policies are a failure. During her term, unemployment rose by 2%. Therefore, she caused the job losses.",Fails to define what constitutes a healthy unemployment rate.,"Confuses a chronological correlation with a definitive causal relationship, ignoring potential global economic factors.",Attacks the governor's character rather than her policies.,Assumes that the governor wanted unemployment to rise.,Relies on inaccurate statistical data.,B,"This is a classic 'post hoc ergo propter hoc' fallacy, assuming that because X happened during Y's term, Y caused X.",Incorrect. Definition is not the core logical error.,Correct. Accurately identifies the correlation vs. causation flaw.,"Incorrect. The attack is on her policies' results, not her character.",Incorrect. Intent is not assumed in the stimulus.,Incorrect. We must accept the premise data as true; the flaw is in the deduction.,custom_gemini_generated,"flaw, causation"
EXP_B1_004,Experimental,Assumption,4,N/A,"Software Developer: If we optimize the code, the application will run twice as fast. Therefore, users will immediately notice the improved performance.",The application currently runs fast enough for most users.,Optimizing the code will not introduce new bugs.,The current speed of the application is slow enough that a 50% reduction in processing time crosses the threshold of human perception.,Users care more about speed than visual design.,The optimization process will take two weeks.,C,"If the app currently takes 0.002 seconds, making it 0.001 seconds won't be noticed by a human, ruining the conclusion.",Incorrect. Irrelevant to whether they will notice a change.,Incorrect. Bugs are a separate issue from noticing speed.,Correct. Identifies the necessary link between machine speed and human perception.,Incorrect. Preference doesn't dictate perception.,Incorrect. Development time is irrelevant.,custom_gemini_generated,"assumption, threshold"
EXP_B1_005,Experimental,Main Point,4,N/A,"Astronomer: Funding for ground-based optical telescopes should be redirected to space-based observatories. Atmospheric distortion fundamentally limits the clarity of ground telescopes, a physical barrier that no technological upgrade can fully overcome. Space observatories bypass this completely.",Ground-based telescopes are inexpensive to maintain.,Atmospheric distortion limits the clarity of telescopes.,Space-based observatories are immune to atmospheric distortion.,Funding should be shifted from ground-based to space-based observatories because space observatories avoid insurmountable atmospheric limitations.,Telescope technology is rapidly advancing.,D,The premises establish the limitations of ground and advantages of space to support the policy recommendation of shifting funds.,Incorrect. Cost is not discussed.,Incorrect. This is a premise.,Incorrect. This is a premise.,Correct. Captures the primary conclusion and its core reasoning.,Incorrect. The text argues that upgrades can't overcome the physical barrier.,custom_gemini_generated,"main_point, science"
EXP_B1_006,Experimental,Parallel,4,N/A,"If a building is historically significant, it cannot be demolished. The old library is historically significant, so it cannot be demolished.","If it rains, the grass is wet. The grass is wet, so it rained.","If a student passes the final, they graduate. Mark passed the final, so he will graduate.","If you are a doctor, you must be licensed. Sarah is licensed, so she is a doctor.","If the temperature drops below freezing, water turns to ice. The water is ice, so the temperature dropped.","If a movie is rated R, children need a parent. Children need a parent, so it's rated R.",B,The stimulus is a valid Modus Ponens (A -> B; A; therefore B). Choice B follows this exact logical structure.,Incorrect. Flawed reverse logic.,Correct. Valid Modus Ponens structure.,Incorrect. Flawed reverse logic.,Incorrect. Flawed reverse logic.,Incorrect. Flawed reverse logic.,custom_gemini_generated,"parallel, formal"
EXP_B1_007,Experimental,Flaw,4,N/A,"Manager: We surveyed our top-performing employees, and 90% of them prefer working early in the morning. Therefore, if we force all employees to work early morning shifts, overall company performance will skyrocket.",Assumes that early mornings are cold.,"Fails to consider that the preference of top performers may be an effect of their personality, not the cause of their performance, and may not apply to average workers.",Attacks the employees who prefer evening shifts.,Confuses surveys with strict scientific experiments.,Assumes all employees live near the office.,B,The manager confuses correlation with causation and commits a sampling error by applying traits of a unique subset to the whole.,Incorrect. Weather is irrelevant.,Correct. Identifies the causal flaw and the unrepresentative application.,Incorrect. No attack is present.,"Incorrect. The issue is the logic applied to the data, not the data gathering method.",Incorrect. Commute time is not the core logical error.,custom_gemini_generated,"flaw, sampling_causation"
EXP_B1_008,Experimental,Strengthen,4,N/A,"Historian: The sudden collapse of the Mayan civilization was likely caused by a severe, prolonged drought that decimated their agriculture.",Mayan architecture was incredibly advanced.,Recent geological core samples from Mayan lakes reveal a 200-year period of extreme aridity that perfectly aligns with the timeline of their societal collapse.,The Mayans engaged in frequent warfare with neighboring tribes.,Droughts are common in many parts of the world.,Mayan agriculture relied heavily on corn.,B,"Provides direct, independent scientific evidence that confirms the existence and timing of the historian's hypothesized cause.",Incorrect. Architecture is irrelevant to the collapse cause.,Correct. Adds strong corroborating evidence.,"Incorrect. Suggests an alternative cause (warfare), weakening the drought hypothesis.",Incorrect. General truth irrelevant to the specific Mayan case.,Incorrect. Corn reliance is true but doesn't prove the drought happened.,custom_gemini_generated,"strengthen, evidence"
